Breed,Age (Years),Weight (kg),Color,Gender,breed_key,rank_recent,rank_mean,rank_missing_share,Gender_bin,size_class,age_bin
Chihuahua,2,38,Spotted,Female,chihuahua,34.0,29.75,0.0,1,large,adult
Australian Shepherd,12,23,Black and Tan,Female,australian shepherd,12.0,16.0,0.0,1,medium,senior
Boston Terrier,4,5,Brown,Male,boston terrier,21.0,21.625,0.0,0,small,adult
Saint Bernard,5,36,White,Female,bernard saint,,,,1,large,adult
Havanese,4,49,Red,Female,havanese,24.0,23.75,0.0,1,giant,adult
Australian Shepherd,10,35,Sable,Male,australian shepherd,12.0,16.0,0.0,0,large,senior
Shih Tzu,10,50,Black,Male,shih tzu,20.0,18.875,0.0,0,giant,senior
Dogo Argentino,14,7,White,Male,argentino dogo,93.0,93.0,0.875,0,small,senior
Shetland Sheepdog,6,26,Blue,Male,sheepdog shetland,27.0,23.75,0.0,0,large,adult
Lhasa Apso,7,23,Gray,Male,apso lhasa,78.0,71.375,0.0,0,medium,adult
Rottweiler,9,21,White,Male,rottweiler,8.0,8.5,0.0,0,medium,senior
Poodle,11,40,Brindle,Female,poodle,6.0,7.0,0.0,1,large,senior
Belgian Malinois,10,17,Bicolor,Male,belgian malinoi,37.0,47.875,0.0,0,medium,senior
Saint Bernard,12,13,Sable,Male,bernard saint,,,,0,medium,senior
Labrador Retriever,6,31,Sable,Male,labrador retriever,1.0,1.0,0.0,0,large,adult
Schnauzer,6,40,Spotted,Female,schnauzer,,,,1,large,adult
Poodle,9,14,Black and White,Female,poodle,6.0,7.0,0.0,1,medium,senior
Cavalier King Charles Spaniel,5,36,Gray,Female,cavalier charle king spaniel,17.0,18.0,0.0,1,large,adult
Labrador Retriever,6,49,Merle,Female,labrador retriever,1.0,1.0,0.0,1,giant,adult
Rottweiler,1,54,Blue,Male,rottweiler,8.0,8.5,0.0,0,giant,puppy
Whippet,4,48,Blue,Male,whippet,59.0,58.875,0.0,0,giant,adult
Weimaraner,2,52,Bicolor,Female,weimaraner,39.0,35.5,0.0,1,giant,adult
Akita,7,5,Merle,Female,akita,48.0,46.5,0.0,1,small,adult
Lhasa Apso,9,50,Brown,Male,apso lhasa,78.0,71.375,0.0,0,giant,senior
Pekingese,7,59,Tan,Female,pekingese,95.0,86.375,0.0,1,giant,adult
French Bulldog,4,25,Black and Tan,Male,bulldog french,2.0,5.75,0.0,0,large,adult
Akita,5,33,Sable,Male,akita,48.0,46.5,0.0,0,large,adult
West Highland White Terrier,6,43,Brown,Male,highland terrier west white,44.0,41.0,0.0,0,large,adult
Shih Tzu,9,41,Tricolor,Male,shih tzu,20.0,18.875,0.0,0,large,senior
Lhasa Apso,12,35,White,Female,apso lhasa,78.0,71.375,0.0,1,large,senior
Bull Terrier,3,38,Cream,Male,bull terrier,64.0,58.125,0.0,0,large,adult
Shetland Sheepdog,10,40,Blue,Male,sheepdog shetland,27.0,23.75,0.0,0,large,senior
Boxer,4,46,Black and White,Male,boxer,14.0,10.625,0.0,0,giant,adult
Labrador Retriever,3,59,Blue,Female,labrador retriever,1.0,1.0,0.0,1,giant,adult
Dachshund,10,31,Tricolor,Female,dachshund,10.0,11.625,0.0,1,large,senior
Whippet,14,51,Brindle,Male,whippet,59.0,58.875,0.0,0,giant,senior
Alaskan Malamute,2,23,Blue,Male,alaskan malamute,65.0,58.875,0.0,0,medium,adult
Havanese,2,29,White,Male,havanese,24.0,23.75,0.0,0,large,adult
Golden Retriever,11,29,Merle,Female,golden retriever,4.0,3.125,0.0,1,large,senior
Akita,9,19,Red,Female,akita,48.0,46.5,0.0,1,medium,senior
Saint Bernard,14,33,Gray,Female,bernard saint,,,,1,large,senior
Cavalier King Charles Spaniel,11,55,Cream,Female,cavalier charle king spaniel,17.0,18.0,0.0,1,giant,senior
French Bulldog,7,46,Gray,Female,bulldog french,2.0,5.75,0.0,1,giant,adult
Miniature Schnauzer,11,24,Black and Tan,Male,miniature schnauzer,19.0,17.5,0.0,0,medium,senior
Irish Setter,4,7,Brown,Male,irish setter,75.0,74.625,0.0,0,small,adult
Saint Bernard,12,47,Spotted,Male,bernard saint,,,,0,giant,senior
Boston Terrier,13,54,Black,Female,boston terrier,21.0,21.625,0.0,1,giant,senior
Doberman Pinscher,3,34,Black and White,Female,doberman pinscher,18.0,15.625,0.0,1,large,adult
Whippet,3,6,Red,Male,whippet,59.0,58.875,0.0,0,small,adult
Bichon Frise,5,26,White,Male,bichon frise,45.0,44.125,0.0,0,large,adult
Chihuahua,11,59,Bicolor,Female,chihuahua,34.0,29.75,0.0,1,giant,senior
Belgian Malinois,8,22,Black,Male,belgian malinoi,37.0,47.875,0.0,0,medium,senior
German Shepherd,3,30,Tricolor,Female,german shepherd,3.0,2.125,0.0,1,large,adult
Weimaraner,13,19,Bicolor,Female,weimaraner,39.0,35.5,0.0,1,medium,senior
Dachshund,5,27,White,Male,dachshund,10.0,11.625,0.0,0,large,adult
Pomeranian,5,20,White,Female,pomeranian,23.0,21.75,0.0,1,medium,adult
Alaskan Malamute,10,55,Brown,Male,alaskan malamute,65.0,58.875,0.0,0,giant,senior
Basenji,12,23,Tricolor,Female,basenji,86.0,86.375,0.0,1,medium,senior
Pembroke Welsh Corgi,13,16,Black and Tan,Male,corgi pembroke welsh,11.0,16.625,0.0,0,medium,senior
Golden Retriever,2,59,Black and Tan,Male,golden retriever,4.0,3.125,0.0,0,giant,adult
Chinese Shar-Pei,6,29,White,Female,chinese pei shar,61.0,60.875,0.0,1,large,adult
Pug,4,10,White,Female,pug,29.0,31.0,0.0,1,small,adult
Shiba Inu,8,48,Brindle,Male,inu shiba,43.0,44.875,0.0,0,giant,senior
Labrador Retriever,5,11,Brindle,Male,labrador retriever,1.0,1.0,0.0,0,medium,adult
Bloodhound,14,46,Brindle,Male,bloodhound,46.0,49.375,0.0,0,giant,senior
Cocker Spaniel,11,48,Red,Male,cocker spaniel,30.0,29.375,0.0,0,giant,senior
Irish Setter,3,52,Blue,Female,irish setter,75.0,74.625,0.0,1,giant,adult
West Highland White Terrier,12,17,Merle,Male,highland terrier west white,44.0,41.0,0.0,0,medium,senior
Chinese Shar-Pei,1,17,Black and White,Male,chinese pei shar,61.0,60.875,0.0,0,medium,puppy
Basenji,12,50,Cream,Male,basenji,86.0,86.375,0.0,0,giant,senior
Shih Tzu,10,42,Red,Female,shih tzu,20.0,18.875,0.0,1,large,senior
Cavalier King Charles Spaniel,3,23,Sable,Male,cavalier charle king spaniel,17.0,18.0,0.0,0,medium,adult
Maltese,14,14,Blue,Female,maltese,38.0,33.0,0.0,1,medium,senior
Golden Retriever,14,13,Tricolor,Male,golden retriever,4.0,3.125,0.0,0,medium,senior
French Bulldog,3,58,Red,Male,bulldog french,2.0,5.75,0.0,0,giant,adult
Cavalier King Charles Spaniel,13,45,Black and White,Male,cavalier charle king spaniel,17.0,18.0,0.0,0,giant,senior
Akita,10,13,Brindle,Male,akita,48.0,46.5,0.0,0,medium,senior
Alaskan Malamute,7,5,Spotted,Female,alaskan malamute,65.0,58.875,0.0,1,small,adult
Shih Tzu,9,37,Cream,Female,shih tzu,20.0,18.875,0.0,1,large,senior
Lhasa Apso,10,17,Blue,Female,apso lhasa,78.0,71.375,0.0,1,medium,senior
Basenji,2,57,Black,Female,basenji,86.0,86.375,0.0,1,giant,adult
Yorkshire Terrier,2,25,Merle,Female,terrier yorkshire,13.0,9.0,0.0,1,large,adult
Cocker Spaniel,2,58,Blue,Male,cocker spaniel,30.0,29.375,0.0,0,giant,adult
Schnauzer,1,55,Bicolor,Male,schnauzer,,,,0,giant,puppy
Yorkshire Terrier,2,20,Sable,Male,terrier yorkshire,13.0,9.0,0.0,0,medium,adult
Border Collie,8,28,Black and White,Male,border collie,,,,0,large,senior
Golden Retriever,1,59,Tricolor,Male,golden retriever,4.0,3.125,0.0,0,giant,puppy
Papillon,7,49,Bicolor,Female,papillon,53.0,49.375,0.0,1,giant,adult
French Bulldog,12,22,Spotted,Male,bulldog french,2.0,5.75,0.0,0,medium,senior
Airedale Terrier,6,28,Brindle,Male,airedale terrier,62.0,57.375,0.0,0,large,adult
Chihuahua,10,14,Sable,Female,chihuahua,34.0,29.75,0.0,1,medium,senior
Shiba Inu,13,50,Merle,Female,inu shiba,43.0,44.875,0.0,1,giant,senior
Bulldog,9,39,Tan,Female,bulldog,5.0,4.625,0.0,1,large,senior
French Bulldog,14,37,Black and White,Female,bulldog french,2.0,5.75,0.0,1,large,senior
Samoyed,6,46,Merle,Female,samoyed,56.0,61.5,0.0,1,giant,adult
Pembroke Welsh Corgi,7,11,Blue,Female,corgi pembroke welsh,11.0,16.625,0.0,1,medium,adult
Pomeranian,9,32,White,Male,pomeranian,23.0,21.75,0.0,0,large,senior
Shih Tzu,14,40,Brown,Female,shih tzu,20.0,18.875,0.0,1,large,senior
Samoyed,2,24,Gray,Male,samoyed,56.0,61.5,0.0,0,medium,adult
Pembroke Welsh Corgi,5,43,Tan,Female,corgi pembroke welsh,11.0,16.625,0.0,1,large,adult
Pug,6,6,Black and Tan,Male,pug,29.0,31.0,0.0,0,small,adult
Maltese,14,38,Gray,Female,maltese,38.0,33.0,0.0,1,large,senior
Pekingese,13,42,Black and White,Female,pekingese,95.0,86.375,0.0,1,large,senior
Shetland Sheepdog,10,38,Cream,Female,sheepdog shetland,27.0,23.75,0.0,1,large,senior
Irish Setter,13,38,Brindle,Male,irish setter,75.0,74.625,0.0,0,large,senior
Bernese Mountain Dog,1,8,Tricolor,Female,bernese mountain,22.0,26.5,0.0,1,small,puppy
Pug,6,27,Gray,Male,pug,29.0,31.0,0.0,0,large,adult
Dogo Argentino,7,42,Brindle,Male,argentino dogo,93.0,93.0,0.875,0,large,adult
Cocker Spaniel,10,55,Bicolor,Female,cocker spaniel,30.0,29.375,0.0,1,giant,senior
Chesapeake Bay Retriever,2,38,Tricolor,Female,bay chesapeake retriever,50.0,44.125,0.0,1,large,adult
Basenji,2,8,Bicolor,Female,basenji,86.0,86.375,0.0,1,small,adult
Shiba Inu,4,18,Black,Male,inu shiba,43.0,44.875,0.0,0,medium,adult
Weimaraner,2,39,Spotted,Female,weimaraner,39.0,35.5,0.0,1,large,adult
Beagle,11,20,Brindle,Female,beagle,7.0,5.625,0.0,1,medium,senior
Shetland Sheepdog,7,48,Brown,Female,sheepdog shetland,27.0,23.75,0.0,1,giant,adult
Schnauzer,11,38,White,Male,schnauzer,,,,0,large,senior
Shih Tzu,1,35,White,Female,shih tzu,20.0,18.875,0.0,1,large,puppy
Rottweiler,8,46,White,Male,rottweiler,8.0,8.5,0.0,0,giant,senior
Maltese,12,33,Spotted,Male,maltese,38.0,33.0,0.0,0,large,senior
Australian Shepherd,7,14,Red,Female,australian shepherd,12.0,16.0,0.0,1,medium,adult
Belgian Malinois,12,16,Spotted,Male,belgian malinoi,37.0,47.875,0.0,0,medium,senior
Miniature Schnauzer,5,30,Brown,Male,miniature schnauzer,19.0,17.5,0.0,0,large,adult
Basenji,10,53,Merle,Female,basenji,86.0,86.375,0.0,1,giant,senior
Australian Shepherd,3,14,Black,Female,australian shepherd,12.0,16.0,0.0,1,medium,adult
Pembroke Welsh Corgi,4,37,Brindle,Male,corgi pembroke welsh,11.0,16.625,0.0,0,large,adult
Bloodhound,11,26,Tricolor,Male,bloodhound,46.0,49.375,0.0,0,large,senior
Jack Russell Terrier,7,41,Bicolor,Female,jack russell terrier,,,,1,large,adult
Pekingese,7,16,Brindle,Female,pekingese,95.0,86.375,0.0,1,medium,adult
German Shepherd,3,40,Black and White,Female,german shepherd,3.0,2.125,0.0,1,large,adult
Schnauzer,2,49,Spotted,Female,schnauzer,,,,1,giant,adult
Airedale Terrier,11,7,Black and Tan,Male,airedale terrier,62.0,57.375,0.0,0,small,senior
Maltese,8,37,Brown,Female,maltese,38.0,33.0,0.0,1,large,senior
Maltese,9,33,Sable,Male,maltese,38.0,33.0,0.0,0,large,senior
French Bulldog,9,41,Spotted,Female,bulldog french,2.0,5.75,0.0,1,large,senior
Miniature Schnauzer,12,15,Gray,Male,miniature schnauzer,19.0,17.5,0.0,0,medium,senior
Jack Russell Terrier,12,40,Cream,Female,jack russell terrier,,,,1,large,senior
French Bulldog,5,34,Tricolor,Female,bulldog french,2.0,5.75,0.0,1,large,adult
West Highland White Terrier,3,48,Merle,Female,highland terrier west white,44.0,41.0,0.0,1,giant,adult
Siberian Husky,12,46,Cream,Male,husky siberian,16.0,13.5,0.0,0,giant,senior
Bloodhound,10,28,Tan,Male,bloodhound,46.0,49.375,0.0,0,large,senior
Saint Bernard,12,42,Bicolor,Female,bernard saint,,,,1,large,senior
Pomeranian,9,34,Brindle,Male,pomeranian,23.0,21.75,0.0,0,large,senior
Poodle,11,38,Black and White,Female,poodle,6.0,7.0,0.0,1,large,senior
Havanese,1,40,Blue,Male,havanese,24.0,23.75,0.0,0,large,puppy
Alaskan Malamute,12,47,Bicolor,Male,alaskan malamute,65.0,58.875,0.0,0,giant,senior
Shiba Inu,4,21,Brown,Female,inu shiba,43.0,44.875,0.0,1,medium,adult
Pembroke Welsh Corgi,1,25,Black and Tan,Female,corgi pembroke welsh,11.0,16.625,0.0,1,large,puppy
Basenji,6,38,Merle,Female,basenji,86.0,86.375,0.0,1,large,adult
Boston Terrier,8,8,Bicolor,Male,boston terrier,21.0,21.625,0.0,0,small,senior
Dachshund,8,36,Tan,Male,dachshund,10.0,11.625,0.0,0,large,senior
Alaskan Malamute,13,50,Bicolor,Male,alaskan malamute,65.0,58.875,0.0,0,giant,senior
Vizsla,5,41,Black and White,Female,vizsla,35.0,32.625,0.0,1,large,adult
Great Dane,12,13,Black and White,Male,dane great,15.0,15.25,0.0,0,medium,senior
Jack Russell Terrier,13,29,Black and White,Female,jack russell terrier,,,,1,large,senior
Basenji,9,30,Tan,Female,basenji,86.0,86.375,0.0,1,large,senior
Golden Retriever,3,30,Sable,Female,golden retriever,4.0,3.125,0.0,1,large,adult
Bichon Frise,12,42,Black and Tan,Male,bichon frise,45.0,44.125,0.0,0,large,senior
Cocker Spaniel,10,15,Bicolor,Female,cocker spaniel,30.0,29.375,0.0,1,medium,senior
Bernese Mountain Dog,6,37,Black and White,Male,bernese mountain,22.0,26.5,0.0,0,large,adult
Havanese,13,8,Sable,Male,havanese,24.0,23.75,0.0,0,small,senior
Dogo Argentino,13,26,Merle,Male,argentino dogo,93.0,93.0,0.875,0,large,senior
Chinese Shar-Pei,2,45,Brown,Male,chinese pei shar,61.0,60.875,0.0,0,giant,adult
Irish Setter,8,18,Black,Male,irish setter,75.0,74.625,0.0,0,medium,senior
Boston Terrier,14,37,Bicolor,Female,boston terrier,21.0,21.625,0.0,1,large,senior
Dogo Argentino,8,47,Tan,Male,argentino dogo,93.0,93.0,0.875,0,giant,senior
Pekingese,2,10,Spotted,Female,pekingese,95.0,86.375,0.0,1,small,adult
French Bulldog,6,26,Tan,Female,bulldog french,2.0,5.75,0.0,1,large,adult
Saint Bernard,1,45,Spotted,Male,bernard saint,,,,0,giant,puppy
Bull Terrier,8,18,Black and Tan,Female,bull terrier,64.0,58.125,0.0,1,medium,senior
Boxer,14,32,Gray,Female,boxer,14.0,10.625,0.0,1,large,senior
Boxer,9,39,Sable,Female,boxer,14.0,10.625,0.0,1,large,senior
Belgian Malinois,5,5,Black and Tan,Male,belgian malinoi,37.0,47.875,0.0,0,small,adult
Havanese,6,49,Brindle,Male,havanese,24.0,23.75,0.0,0,giant,adult
French Bulldog,3,44,Black,Female,bulldog french,2.0,5.75,0.0,1,large,adult
Irish Setter,1,53,Black,Female,irish setter,75.0,74.625,0.0,1,giant,puppy
Border Collie,14,52,Black and Tan,Male,border collie,,,,0,giant,senior
Whippet,9,56,Gray,Female,whippet,59.0,58.875,0.0,1,giant,senior
Airedale Terrier,7,22,Tricolor,Female,airedale terrier,62.0,57.375,0.0,1,medium,adult
French Bulldog,12,37,Brindle,Female,bulldog french,2.0,5.75,0.0,1,large,senior
Schnauzer,6,37,Sable,Male,schnauzer,,,,0,large,adult
Boxer,4,16,Gray,Female,boxer,14.0,10.625,0.0,1,medium,adult
Dachshund,9,47,Brown,Male,dachshund,10.0,11.625,0.0,0,giant,senior
Bichon Frise,11,11,Black and White,Male,bichon frise,45.0,44.125,0.0,0,medium,senior
Samoyed,13,23,Black and White,Male,samoyed,56.0,61.5,0.0,0,medium,senior
Rottweiler,10,38,Red,Female,rottweiler,8.0,8.5,0.0,1,large,senior
Bull Terrier,14,56,Black and Tan,Female,bull terrier,64.0,58.125,0.0,1,giant,senior
Shetland Sheepdog,1,57,Red,Male,sheepdog shetland,27.0,23.75,0.0,0,giant,puppy
Chesapeake Bay Retriever,11,10,Brindle,Female,bay chesapeake retriever,50.0,44.125,0.0,1,small,senior
Airedale Terrier,8,22,Bicolor,Male,airedale terrier,62.0,57.375,0.0,0,medium,senior
Akita,3,59,Black,Female,akita,48.0,46.5,0.0,1,giant,adult
Akita,11,15,Merle,Female,akita,48.0,46.5,0.0,1,medium,senior
Maltese,9,17,Tan,Female,maltese,38.0,33.0,0.0,1,medium,senior
Chesapeake Bay Retriever,8,46,Tricolor,Female,bay chesapeake retriever,50.0,44.125,0.0,1,giant,senior
Poodle,7,22,White,Male,poodle,6.0,7.0,0.0,0,medium,adult
Basenji,1,36,Black,Male,basenji,86.0,86.375,0.0,0,large,puppy
Weimaraner,6,8,Merle,Female,weimaraner,39.0,35.5,0.0,1,small,adult
Labrador Retriever,14,45,Brindle,Male,labrador retriever,1.0,1.0,0.0,0,giant,senior
Pembroke Welsh Corgi,3,39,Brown,Female,corgi pembroke welsh,11.0,16.625,0.0,1,large,adult
Akita,11,47,Merle,Male,akita,48.0,46.5,0.0,0,giant,senior
Poodle,7,35,Gray,Female,poodle,6.0,7.0,0.0,1,large,adult
Dogo Argentino,14,11,Black,Male,argentino dogo,93.0,93.0,0.875,0,medium,senior
Pug,9,5,Tan,Male,pug,29.0,31.0,0.0,0,small,senior
Yorkshire Terrier,5,9,Black,Female,terrier yorkshire,13.0,9.0,0.0,1,small,adult
German Shepherd,1,9,Brindle,Male,german shepherd,3.0,2.125,0.0,0,small,puppy
Doberman Pinscher,4,49,Bicolor,Female,doberman pinscher,18.0,15.625,0.0,1,giant,adult
Lhasa Apso,11,5,Black and White,Male,apso lhasa,78.0,71.375,0.0,0,small,senior
Saint Bernard,5,56,Blue,Female,bernard saint,,,,1,giant,adult
Bichon Frise,2,40,Merle,Male,bichon frise,45.0,44.125,0.0,0,large,adult
Basenji,9,27,White,Male,basenji,86.0,86.375,0.0,0,large,senior
Papillon,3,35,Spotted,Female,papillon,53.0,49.375,0.0,1,large,adult
Weimaraner,9,44,Cream,Male,weimaraner,39.0,35.5,0.0,0,large,senior
