Breed,Age,Weight,Gender,Color,Coat Length,Coat Type,Energy Level,Playfulness Level,is_brachycephalic,size_category,Spayed/Neutered,Indoor/Outdoor,Season,Sun Exposure,Wind Cooling Effect,Station_Temp,Station_Humidity,Ambient_Temp,Ambient_Humidity,T_device,H_device,breed_wt_mu,breed_wt_sd,ideal_weight,pct_of_ideal,BCS_cont,BCS,Temp_Diff,Hum_Diff,CBT_simulated,is_old,is_overweight,heat_stress_risk,High_humidity_fordogs,prior_heat_related_injury_est,simulated_heat_injury_flag,target2Category,target3Category
Whippet,10.5,15.3,Male,Cream,Short,Smooth,4.0,4.0,0.0,Medium,0,Outdoor_Now,Summer,3.5319366915606567,-0.23996626567557341,44.167616279577636,63.39213229966995,44.17,63.39,53.45,75.17,32.666666666666664,15.193293197726764,55.152206486846666,0.27741410497599805,2.109656419903992,2,9.28,11.78,40.28230947906244,0,0,0,1,0.0,0,1,Heat Stress
Pomeranian,13.0,41.1,Male,Brindle,Long,Double,3.0,3.0,0.0,Large,0,Indoor_Now,Fall,0.0,0.0,25.11108052602884,97.88156350634856,22.62,55.58,26.58,62.82,32.25,14.363813871537397,18.89144013803037,2.175588504619167,9.702354018476669,9,3.96,7.24,39.93017181796698,1,1,1,1,0.042,0,1,Heat Stress
Dachshund,10.7,4.0,Female,Brown,Short,Smooth,3.0,4.0,0.0,Toy,1,Indoor_Now,Fall,0.0,0.0,23.938200528494843,80.90781031768205,22.39,52.18,24.76,54.88,33.88135593220339,14.82319331988604,42.763419161943034,0.0935378900562696,1.3741515602250782,1,2.37,2.7,39.15352849119658,0,0,0,0,0.0,0,0,Normal
Boston Terrier,9.8,45.7,Female,Bicolor,Short,Smooth,4.0,5.0,1.0,Giant,1,Indoor_Now,Fall,0.0,0.0,26.11791647839619,95.06680564576102,22.82,55.01,25.2,58.58,33.0377358490566,18.50775540576576,54.287897734968695,0.8418082465286377,4.367232986114551,4,2.38,3.57,39.22163568977578,0,0,1,0,0.052000000000000005,0,0,Normal
Labrador Retriever,9.8,15.0,Female,White,Short,Double,5.0,5.0,0.0,Medium,0,Indoor_Now,Fall,0.0,0.0,26.19467066174145,78.68828848710687,22.84,51.74,26.0,56.28,31.923076923076923,15.760270419007453,44.60488400629546,0.3362860443238217,2.345144177295287,2,3.16,4.54,39.14963672421338,0,0,0,0,0.0,0,0,Normal
Whippet,7.2,48.4,Female,Bicolor,Short,Smooth,4.0,4.0,0.0,Giant,1,Outdoor_Now,Fall,1.5740293610182,-0.8565057807579259,25.012937538963367,62.300513136700474,25.01,62.3,29.6,69.94,32.666666666666664,15.193293197726764,40.03916298341663,1.2088164785074615,5.835265914029846,6,4.59,7.64,38.917288633372245,0,0,0,1,0.022,0,0,Normal
Rottweiler,10.6,9.8,Male,Black and Tan,Short,Smooth,3.0,4.0,0.0,Small,0,Indoor_Now,Summer,0.0,0.0,21.382228510502138,74.06556735588286,21.88,50.81,24.12,54.55,30.728813559322035,15.845224154137336,57.181268674385805,0.17138479483212105,1.685539179328484,2,2.24,3.74,39.54518481670296,0,0,0,0,0.0,0,0,Normal
Cocker Spaniel,2.1,20.3,Female,Blue,Long,Double,4.0,3.0,0.0,Medium,1,Indoor_Now,Winter,0.0,0.0,13.95338992823802,63.17248183196046,20.39,48.63,24.17,54.91,32.101694915254235,18.31872503022262,69.52328361535078,0.29198851009847515,2.1679540403939006,2,3.78,6.28,38.74500836260939,0,0,0,0,0.0,0,0,Normal
Bernese Mountain Dog,4.8,8.3,Female,Sable,Medium,Double,4.0,4.0,0.0,Small,1,Indoor_Now,Winter,0.0,0.0,14.240556465283667,82.80233496145627,20.45,52.56,23.49,60.55,33.267857142857146,16.370140301979504,43.05254070510412,0.19278769299243678,1.7711507719697472,2,3.04,7.99,39.2069560008114,0,0,0,1,0.0,0,0,Normal
Havanese,3.8,25.6,Female,Bicolor,Long,Double,3.0,5.0,0.0,Large,1,Outdoor_Now,Fall,3.079361041078121,-0.6925418732647992,22.277202238162296,82.02061139626011,22.28,82.02,31.84,95.33,31.563636363636363,16.215862874179983,27.32061605454974,0.9370213302981797,4.748085321192718,5,9.56,13.31,40.72712677302112,0,0,0,1,0.002,0,1,Heat Stroke
Miniature Schnauzer,5.4,38.3,Male,Merle,Medium,Wiry,3.0,4.0,0.0,Large,0,Indoor_Now,Fall,0.0,0.0,19.828532315349,72.19318897767077,21.57,50.44,23.91,55.82,35.29090909090909,15.122552115684128,20.101563999909196,1.9053243817333323,8.62129752693333,9,2.34,5.38,38.95075007702104,0,1,1,0,0.042,0,0,Normal
Boxer,7.3,23.4,Female,Black and White,Short,Smooth,4.0,4.0,1.0,Medium,0,Indoor_Now,Fall,0.0,0.0,20.760464171150375,87.10394322213627,21.75,53.42,23.86,55.75,32.23076923076923,15.730095277394142,25.666472715466707,0.9116952009498008,4.646780803799203,5,2.11,2.33,38.51409261393755,0,0,1,0,0.042,0,0,Normal
Poodle,8.6,47.8,Female,Black and White,Long,Curly,4.0,5.0,0.0,Giant,1,Indoor_Now,Spring,0.0,0.0,27.70628698578362,63.887175728744495,23.14,48.78,27.16,57.31,33.540983606557376,15.44730156639211,32.92995253990754,1.451566015531652,6.806264062126608,7,4.02,8.53,39.125113130380896,0,1,1,0,0.022,0,0,Normal
Rottweiler,-7.0,22.5,Male,Sable,Short,Smooth,3.0,4.0,0.0,Medium,0,Indoor_Now,Winter,0.0,0.0,10.995556414080983,62.04050722826244,19.8,48.41,21.75,49.58,30.728813559322035,15.845224154137336,36.2414881722959,0.6208354329444916,3.4833417317779665,3,1.95,1.17,38.44878159341746,0,0,0,0,0.0,0,0,Normal
Maltese,10.2,44.7,Female,Sable,Long,Silky,3.0,3.0,0.0,Large,0,Indoor_Now,Fall,0.0,0.0,14.632154451806848,90.83446773688122,20.53,54.17,24.23,62.6,31.346153846153847,13.70542273583796,30.873723166382042,1.44783315439821,6.79133261759284,7,3.7,8.43,40.184709090889086,0,1,1,1,0.012,0,1,Heat Stress
Chesapeake Bay Retriever,12.3,47.5,Female,Merle,Medium,Wiry,4.0,3.0,0.0,Giant,1,Indoor_Now,Fall,0.0,0.0,27.9548947743714,75.5159779305237,23.19,51.1,26.01,56.01,28.192307692307693,15.003317883432057,20.924108864170645,2.270108624856972,10.080434499427888,9,2.82,4.91,38.46465416018685,1,1,1,0,0.052000000000000005,1,0,Normal
Vizsla,10.1,22.0,Female,White,Short,Smooth,5.0,5.0,0.0,Medium,1,Indoor_Now,Spring,0.0,0.0,27.078625826763453,75.682839464085,23.02,51.14,25.93,54.31,29.96875,15.145819005036781,37.039960236144225,0.5939531214326743,3.3758124857306973,3,2.91,3.17,39.2656812820021,0,0,0,0,0.0,0,0,Normal
Pembroke Welsh Corgi,9.0,57.7,Female,Spotted,Short,Double,4.0,4.0,0.0,Giant,1,Indoor_Now,Summer,0.0,0.0,33.020188424429364,69.61205198084059,24.2,49.92,26.94,55.42,34.47761194029851,14.676675175623544,7.064419574844038,8.167691540500531,33.670766162002124,9,2.74,5.5,39.37118827950356,0,1,1,0,0.052000000000000005,0,0,Normal
Doberman Pinscher,4.0,26.5,Male,Black and Tan,Short,Smooth,5.0,4.0,0.0,Large,1,Indoor_Now,Summer,0.0,0.0,31.633111932364688,57.473567119453634,23.93,47.49,25.92,50.13,30.075757575757574,16.58573122254428,30.736280380712767,0.8621732907092081,4.4486931628368325,4,1.99,2.64,39.40439189408638,0,0,0,0,0.002,0,0,Normal
Doberman Pinscher,4.0,26.5,Male,Black and Tan,Short,Smooth,5.0,4.0,0.0,Large,1,Indoor_Now,Summer,0.0,0.0,35.2751185807008,91.06174749485817,24.66,54.21,27.16,58.5,30.075757575757574,16.58573122254428,25.189752467876676,1.0520151015296486,5.208060406118594,5,2.5,4.29,39.23934814704099,0,0,0,0,0.002,0,0,Normal
Jack Russell Terrier,8.3,28.2,Male,Cream,Short,Wiry,5.0,5.0,0.0,Large,1,Indoor_Now,Summer,0.0,0.0,33.33685997512902,69.16441526146616,24.27,49.83,26.86,53.32,29.545454545454547,14.82842388395189,34.905891127079904,0.8078865512223669,4.231546204889467,4,2.59,3.49,39.56526983034788,0,0,0,0,0.002,0,0,Normal
Samoyed,13.9,48.0,Female,Sable,Long,Double,4.0,5.0,0.0,Giant,1,Indoor_Now,Winter,0.0,0.0,11.769061964221688,59.635193019134505,19.95,47.93,24.43,58.41,33.017857142857146,13.828154509653745,47.73988072268996,1.0054486788272683,5.021794715309073,5,4.48,10.48,39.26797772626147,1,0,1,0,0.002,0,0,Normal
Saint Bernard,9.8,22.2,Female,Red,Short,Smooth,3.0,3.0,0.0,Medium,1,Indoor_Now,Fall,0.0,0.0,39.855399342474264,72.01008435549997,25.57,50.4,27.59,52.39,34.2962962962963,14.315356090088146,31.262909940272106,0.7101066421012366,3.8404265684049466,4,2.02,1.99,38.53277290467236,0,0,0,0,0.002,0,0,Normal
Jack Russell Terrier,10.3,17.6,Male,Sable,Short,Wiry,5.0,5.0,0.0,Medium,1,Indoor_Now,Spring,0.0,0.0,22.259020153370088,73.67918872352575,22.05,50.74,24.26,53.4,29.545454545454547,14.82842388395189,49.01585568947344,0.3590674844380968,2.436269937752387,2,2.21,2.66,38.7608971986345,0,0,0,0,0.0,0,0,Normal
Bloodhound,14.0,52.6,Male,Brown,Short,Smooth,3.0,3.0,0.0,Giant,1,Indoor_Now,Winter,0.0,0.0,9.462535078461947,64.52883529055175,19.49,48.91,21.42,52.02,32.271186440677965,17.013007709594138,26.802750048468113,1.9624851892019306,8.849940756807722,9,1.93,3.11,38.748526080956715,1,1,1,0,0.052000000000000005,0,0,Normal
Labrador Retriever,5.3,21.0,Male,White,Short,Double,5.0,5.0,0.0,Medium,0,Outdoor_Now,Summer,4.680890294138358,-0.21045639805866978,34.970622948606135,80.92760202868956,34.97,80.93,47.21,95.41,31.923076923076923,15.760270419007453,23.936257516597614,0.8773301333944294,4.509320533577718,5,12.24,14.48,40.18212348344258,0,0,0,1,0.0,0,1,Heat Stress
Bloodhound,10.8,-7.8,Male,Brown,Short,Smooth,3.0,3.0,0.0,Toy,1,Indoor_Now,Winter,0.0,0.0,13.114341601042117,81.99194562986176,20.22,52.4,22.25,54.56,32.271186440677965,17.013007709594138,7.368435833889997,-1.0585693050518388,-3.234277220207355,1,2.03,2.16,38.07013635153971,0,0,0,0,0.0,0,0,Normal
Dogo Argentino,10.4,45.0,Male,Brown,Short,Smooth,5.0,4.0,0.0,Giant,1,Indoor_Now,Winter,0.0,0.0,4.613826749727667,76.62450517635567,18.52,51.32,20.88,54.24,33.67272727272727,15.511112558247163,40.9855289271977,1.0979484998213194,5.3917939992852775,5,2.36,2.92,37.81390581120126,0,0,0,0,0.002,0,0,Normal
Bull Terrier,2.9,46.7,Male,Cream,Short,Smooth,4.0,4.0,1.0,Giant,0,Indoor_Now,Spring,0.0,0.0,29.700567511304733,71.1106487630061,23.54,50.22,25.88,53.41,34.163636363636364,16.000883813973616,36.57658618599556,1.2767730635802337,6.107092254320935,6,2.34,3.19,39.145932889104934,0,0,1,0,0.062,0,0,Normal
Cavalier King Charles Spaniel,12.7,9.0,Male,Gray,Medium,Wavy,3.0,3.0,1.0,Small,1,Indoor_Now,Summer,0.0,0.0,30.181115388123672,74.89072137997812,23.64,50.98,26.16,56.88,30.234375,15.476292353144535,36.572529497338,0.24608634195387227,1.984345367815489,2,2.52,5.9,39.2685092652541,1,0,1,0,0.042,0,0,Normal
Alaskan Malamute,7.5,32.2,Female,Blue,Medium,Double,4.0,3.0,0.0,Large,1,Indoor_Now,Winter,0.0,0.0,16.974887775755356,65.33741371924478,20.99,49.07,23.95,54.99,34.63636363636363,14.87648360029225,3.3443054415662985,9.62830715154989,39.51322860619956,9,2.96,5.92,40.30910258942827,0,1,1,0,0.052000000000000005,0,1,Heat Stress
Samoyed,0.7,66.4,Female,Black,Long,Double,4.0,5.0,0.0,Giant,0,Indoor_Now,Winter,0.0,0.0,4.9250734431569345,76.28481882233156,18.59,51.26,22.46,61.29,33.017857142857146,13.828154509653745,25.596574575747965,2.594097104809959,11.376388419239836,9,3.87,10.03,39.4414355074107,0,1,1,1,0.042,0,0,Normal
Pomeranian,10.9,19.3,Male,Gray,Long,Double,3.0,3.0,0.0,Medium,0,Indoor_Now,Fall,0.0,0.0,29.93615204183691,66.82642342236154,23.59,49.37,27.28,55.73,32.25,14.363813871537397,37.02105448458301,0.5213249667979409,3.0852998671917637,3,3.69,6.36,39.56126604610222,0,0,0,0,0.0,0,0,Normal
Cavalier King Charles Spaniel,5.7,18.9,Male,Black and Tan,Medium,Wavy,3.0,3.0,1.0,Medium,1,Indoor_Now,Winter,0.0,0.0,14.991230882757383,55.565953027703884,20.6,47.11,23.97,53.25,30.234375,15.476292353144535,27.46666110536722,0.6881069354406086,3.7524277417624345,4,3.37,6.14,38.67487296971402,0,0,1,0,0.052000000000000005,1,0,Normal
Vizsla,6.0,29.1,Female,Spotted,Short,Smooth,5.0,5.0,0.0,Large,0,Indoor_Now,Winter,0.0,0.0,10.106651845146544,67.7577801887231,19.62,49.55,22.38,53.85,29.96875,15.145819005036781,45.42326924493323,0.6406408099576845,3.562563239830738,4,2.76,4.3,38.15423426456627,0,0,0,0,0.0,0,0,Normal
Dogo Argentino,3.3,60.8,Male,Black and White,Short,Smooth,5.0,4.0,0.0,Giant,1,Outdoor_Now,Winter,1.9405946888136894,-0.36215803040050953,7.695651380457073,75.51729665299563,7.7,75.52,13.57,83.82,33.67272727272727,15.511112558247163,64.33409344540013,0.9450665540441712,4.780266216176685,5,5.87,8.3,38.50409436128425,0,0,0,1,0.002,0,0,Normal
Lhasa Apso,2.5,32.4,Male,Black and White,Long,Silky,3.0,3.0,0.0,Large,0,Indoor_Now,Spring,0.0,0.0,24.199463353894863,78.34309270891276,22.44,51.67,26.2,58.42,29.946428571428573,15.75080909074156,28.009918290450518,1.1567331137501462,5.626932455000585,6,3.76,6.75,38.78600894524414,0,0,0,0,0.012,0,0,Normal
Yorkshire Terrier,6.8,40.6,Female,Merle,Long,Silky,4.0,4.0,0.0,Large,1,Indoor_Now,Fall,0.0,0.0,17.246862926143148,77.95237243157175,21.05,51.59,24.84,58.83,29.471698113207548,14.228362484278883,51.00657065651782,0.7959758807037535,4.183903522815013,4,3.79,7.24,39.56775427624192,0,0,0,0,0.002,0,0,Normal
Cocker Spaniel,9.1,51.6,Male,Red,Long,Double,4.0,3.0,0.0,Giant,0,Outdoor_Now,Spring,3.7652652059563008,-0.4368375176718996,23.957129671127397,63.27039915808402,23.96,63.27,34.88,79.76,32.101694915254235,18.31872503022262,50.67311412294449,1.0182914725707735,5.073165890283094,5,10.92,16.49,39.68922565463515,0,0,0,1,0.0,0,0,Normal
Chesapeake Bay Retriever,9.7,8.6,Female,Red,Medium,Wiry,4.0,3.0,0.0,Small,1,Indoor_Now,Summer,0.0,0.0,32.48881164834945,96.48947639496299,24.1,55.3,26.69,58.32,28.192307692307693,15.003317883432057,26.056102373148,0.3300570391089149,2.3202281564356593,2,2.59,3.02,39.70278558961048,0,0,0,0,0.0,0,0,Normal
Akita,9.6,36.1,Male,Merle,Medium,Double,4.0,3.0,0.0,Large,1,Indoor_Now,Fall,0.0,0.0,36.68916880330318,82.79005297498779,24.94,52.56,27.97,57.87,31.686274509803923,14.360348458276954,24.477200411902654,1.4748418688619909,6.8993674754479635,7,3.03,5.31,39.13927244469191,0,1,1,0,0.022,0,0,Normal
Poodle,8.8,66.9,Male,Black and White,Long,Curly,4.0,5.0,0.0,Giant,1,Indoor_Now,Winter,0.0,0.0,8.776670520360412,53.94816871127593,19.36,46.79,23.38,57.93,33.540983606557376,15.44730156639211,51.74978064508661,1.292759102861083,6.171036411444332,6,4.02,11.14,38.500017436062066,0,0,0,0,0.022,0,0,Normal
Pembroke Welsh Corgi,9.2,32.8,Female,Gray,Short,Double,4.0,4.0,0.0,Large,0,Outdoor_Now,Summer,3.808593094949238,-0.514243164527667,35.22758517989811,80.1382764647042,35.23,80.14,45.06,91.93,34.47761194029851,14.676675175623544,48.36463739751382,0.6781814516753946,3.7127258067015783,4,9.83,11.79,40.97468078406417,0,0,0,1,0.0,0,1,Heat Stroke
Bernese Mountain Dog,12.6,30.3,Male,Red,Medium,Double,4.0,4.0,0.0,Large,1,Indoor_Now,Winter,0.0,0.0,20.07200155190788,77.5128176226296,21.61,51.5,24.93,59.13,33.267857142857146,16.370140301979504,55.41976063255294,0.5467363924737365,3.186945569894946,3,3.32,7.63,38.36732040720153,1,0,1,0,0.0,0,0,Normal
Pomeranian,8.7,57.3,Male,Brindle,Long,Double,3.0,3.0,0.0,Giant,0,Outdoor_Now,Spring,2.818016932153117,-0.4727076014193208,29.59426564745184,96.09044290949015,29.59,96.09,38.83,100.0,32.25,14.363813871537397,29.302086588228693,1.9554921396969285,8.821968558787713,9,9.24,3.91,39.51736336287052,0,1,1,1,0.042,0,0,Normal
Bull Terrier,8.3,51.6,Male,Black,Short,Smooth,4.0,4.0,1.0,Giant,1,Outdoor_Now,Winter,1.5598706568410552,-0.49749833355045653,1.301569530897833,65.0731840251657,1.3,65.07,6.28,72.07,34.163636363636364,16.000883813973616,46.85192787965649,1.101342086339315,5.40536834535726,5,4.98,7.0,38.314669835611205,0,0,1,1,0.052000000000000005,0,0,Normal
Cocker Spaniel,10.8,15.0,Male,Bicolor,Long,Double,4.0,3.0,0.0,Medium,1,Outdoor_Now,Spring,4.226677604038197,-0.8093260945878205,18.40178815057616,50.78092289714923,18.4,50.78,30.07,67.88,32.101694915254235,18.31872503022262,44.44563811547903,0.3374909358040237,2.3499637432160947,2,11.67,17.1,39.99874861746724,0,0,0,1,0.0,0,1,Heat Stress
Shetland Sheepdog,3.6,42.1,Female,Brown,Long,Double,4.0,5.0,0.0,Large,1,Indoor_Now,Fall,0.0,0.0,35.235703684040814,77.45468516067129,24.65,51.49,28.66,61.81,30.2,16.467655372559502,17.2286742673359,2.443600670994054,10.774402683976216,9,4.01,10.32,39.672264516873774,0,1,1,1,0.052000000000000005,0,0,Normal
Shetland Sheepdog,3.6,42.1,Female,Brown,Medium,Double,4.0,3.0,0.0,Large,0,Indoor_Now,Summer,0.0,0.0,34.25235690804276,65.21844116381976,24.45,49.04,27.58,54.87,30.2,16.467655372559502,10.479834107881441,4.017239163007205,17.06895665202882,9,3.13,5.83,39.41960681605333,0,1,1,0,0.042,0,0,Normal
Saint Bernard,7.7,48.1,Female,Black,Short,Smooth,3.0,3.0,0.0,Giant,0,Outdoor_Now,Winter,1.59295950883436,-0.02045485817508641,13.226601183737312,72.50565116530993,13.23,72.51,18.63,78.44,34.2962962962963,14.315356090088146,49.43696957969426,0.9729560773837682,4.891824309535073,5,5.4,5.93,38.55391312280985,0,0,0,1,0.0,0,0,Normal
Boston Terrier,5.1,20.7,Female,Merle,Short,Smooth,4.0,5.0,1.0,Medium,0,Indoor_Now,Summer,0.0,0.0,33.5710466751808,73.87095419497044,24.31,50.77,26.81,54.2,33.0377358490566,18.50775540576576,22.828897423005834,0.9067454996376462,4.626981998550585,5,2.5,3.43,39.261047988610066,0,0,1,0,0.042,0,0,Normal
Doberman Pinscher,2.4,40.1,Male,Blue,Short,Smooth,5.0,4.0,0.0,Large,1,Indoor_Now,Winter,0.0,0.0,9.670231442338473,72.87315352939397,19.53,50.57,21.64,53.66,30.075757575757574,16.58573122254428,24.52957323406931,1.6347614211365409,7.5390456845461635,8,2.11,3.09,37.85199599138525,0,1,1,0,0.052000000000000005,0,0,Normal
Doberman Pinscher,2.4,40.1,Male,Blue,Short,Smooth,5.0,4.0,0.0,Large,1,Indoor_Now,Winter,0.0,0.0,14.09945828102001,64.77927290837027,20.42,48.96,22.94,51.74,30.075757575757574,16.58573122254428,22.55239963524193,1.7780812972707785,8.112325189083114,8,2.52,2.78,39.640805436817736,0,1,1,0,0.052000000000000005,0,0,Normal
Miniature Schnauzer,4.8,36.4,Male,Brindle,Medium,Wiry,3.0,4.0,0.0,Large,1,Indoor_Now,Winter,0.0,0.0,12.510402672169647,67.20007467775737,20.1,49.44,22.64,53.54,35.29090909090909,15.122552115684128,25.686461026146205,1.4170889467003065,6.668355786801226,7,2.54,4.1,38.88003095619566,0,1,1,0,0.022,0,0,Normal
Bull Terrier,8.4,10.8,Female,Brown,Short,Smooth,4.0,4.0,1.0,Small,1,Indoor_Now,Summer,0.0,0.0,24.284112762222247,98.9996319528054,22.46,55.8,24.36,59.81,34.163636363636364,16.000883813973616,12.655033492339246,0.8534153628702608,4.413661451481043,4,1.9,4.01,39.05438690285339,0,0,1,0,0.052000000000000005,0,0,Normal
Alaskan Malamute,14.3,-3.0,Female,Bicolor,Medium,Double,4.0,3.0,0.0,Toy,1,Outdoor_Now,Fall,2.180112051552852,-0.8132626432388836,35.8729427676008,80.71152124850742,35.87,80.71,42.71,92.72,34.63636363636363,14.87648360029225,28.71191935177712,-0.1044862227162224,0.5820551091351103,1,6.84,12.01,39.968068617216666,1,0,1,1,0.0,0,1,Heat Stress
Boxer,6.1,69.9,Female,Tan,Short,Smooth,4.0,4.0,1.0,Giant,0,Indoor_Now,Spring,0.0,0.0,36.80632189058051,81.49344293992475,24.96,52.3,27.48,54.7,32.23076923076923,15.730095277394142,44.67735382010019,1.564551031412076,7.258204125648304,7,2.52,2.4,37.76267136251138,0,1,1,0,0.062,0,0,Normal
West Highland White Terrier,-3.3,58.7,Female,Gray,Medium,Double,4.0,5.0,0.0,Giant,1,Indoor_Now,Summer,0.0,0.0,33.98562592767792,78.54785332925617,24.4,51.71,27.33,58.42,29.520833333333332,18.118979802351294,42.232187627677185,1.3899351015747645,6.559740406299058,7,2.93,6.71,39.36408370407931,0,1,1,0,0.022,0,0,Normal
Dogo Argentino,1.2,37.7,Female,Gray,Short,Smooth,5.0,4.0,0.0,Large,1,Indoor_Now,Winter,0.0,0.0,12.994859573973145,78.35503960860777,20.2,51.67,22.79,58.09,33.67272727272727,15.511112558247163,47.181319485130935,0.7990450545131756,4.196180218052703,4,2.59,6.42,38.56749809127241,0,0,0,0,0.002,0,0,Normal
Labrador Retriever,8.8,51.8,Male,Bicolor,Short,Double,5.0,5.0,0.0,Giant,1,Indoor_Now,Spring,0.0,0.0,21.593627149383906,82.72177833445262,21.92,52.54,24.78,59.9,31.923076923076923,15.760270419007453,40.88933709170297,1.266833939709699,6.067335758838796,6,2.86,7.36,38.882184718067506,0,0,0,0,0.022,0,0,Normal
Border Collie,8.7,13.5,Male,Gray,Medium,Double,5.0,5.0,0.0,Medium,1,Outdoor_Now,Winter,2.43166932506757,-0.06544130397064613,14.517977763592604,64.35926441737189,14.52,64.36,22.61,76.92,30.526315789473685,15.913948579736465,45.228774172535125,0.298482553352016,2.193930213408064,2,8.09,12.56,39.088372445633,0,0,0,1,0.0,0,0,Normal
Border Collie,8.7,13.5,Male,Gray,Long,Silky,4.0,4.0,0.0,Medium,1,Outdoor_Now,Spring,4.0239757237989995,-0.3843172054450037,23.936627253731903,71.37772517867293,23.94,71.38,35.08,87.91,30.526315789473685,15.913948579736465,15.191047254687122,0.8886813248398422,4.554725299359369,5,11.14,16.53,39.85006220026428,0,0,0,1,0.002,0,1,Heat Stress
Boston Terrier,8.2,23.4,Female,Bicolor,Short,Smooth,4.0,5.0,1.0,Medium,1,Indoor_Now,Fall,0.0,0.0,29.86352712723352,86.36262062411714,23.57,53.27,25.85,55.79,33.0377358490566,18.50775540576576,47.778978314606704,0.4897551355309389,2.9590205421237554,3,2.28,2.52,39.4088063373951,0,0,1,0,0.042,0,0,Normal
